02:30\t76.84
02:30\t1.57
02:29\t3.06
02:29\t3.05
02:28\t3.37
02:28\t1.71
02:27\t1.26
02:27\t1.06
02:27\t2.41
02:26\t1.59
02:26\t1.39
02:26\t1.46
02:26\t1.37
02:26\t1.17
02:25\t2.1
02:24\t2.25
02:24\t1.32
02:24\t1.31
02:23\t2.28
02:23\t1.07
02:23\t1.07
02:22\t17.7
02:22\t2.38
02:21\t1.87
02:21\t1.29
02:21\t1.08
02:20\t2.04
02:20\t12.16
02:19\t1.27
02:18\t13.03
02:18\t1
02:18\t1.24
02:18\t1.29
02:17\t1.35
02:17\t1.99
02:17\t1.1
02:16\t3.37
02:16\t1.89
02:16\t1.79
02:15\t1.16
02:15\t1.8
02:15\t1.08
02:14\t4.26
02:14\t1.5
02:14\t1.03
02:13\t14.42
02:12\t1.23
02:12\t1.02
02:12\t1.8
02:12\t1.27
02:12\t1.27
02:11\t1.66
02:11\t1.92
02:11\t1.22
02:10\t2.03
02:10\t1.39
02:09\t8.15
02:08\t4.72
02:08\t2.43
02:08\t1.45
02:07\t2.62
02:07\t3.47
02:06\t1.76
02:06\t1.53
02:05\t9.27
02:05\t1.68
02:05\t1.46
02:04\t5.64
02:04\t1.15
02:03\t1.19
02:03\t2.11
02:03\t2.05
02:02\t2.07
02:02\t1.12
02:02\t1.49
02:01\t4.62
02:00\t4.36
02:00\t9.58
01:59\t7.01
01:58\t2.18
01:58\t1.05
01:58\t1
01:58\t1.11
01:57\t1.57
01:57\t1.73
01:56\t13.83
01:56\t1.55
01:55\t54.67
01:54\t2.73
01:54\t1.47
01:53\t1.95
01:53\t1.34
01:53\t1.1
01:52\t3.01
01:52\t1.41
01:52\t2.92
01:51\t16.67
01:50\t1.62
01:50\t2.12
01:49\t3.22
01:49\t2.98
01:49\t1.09
01:48\t1.44
01:48\t3.23
01:47\t9.43
01:47\t1.56
01:46\t1.55
01:46\t1.05
01:46\t1.17
01:46\t1.06
01:45\t1.82
01:45\t1.3
01:45\t1.58
01:44\t1.45
01:44\t1.83
01:44\t1.23
01:43\t9.59
01:43\t2.21
01:42\t1.46
01:42\t6.2
01:41\t3.5
01:40\t3.61
01:40\t1.16
01:39\t58.48
01:38\t2.6
01:38\t1.49
01:38\t3.31
01:37\t5.78
01:36\t4.15
01:36\t2.79
01:36\t1.14
01:35\t1.07
01:35\t2.27
01:34\t74.16
01:33\t1.34
01:33\t2.57
01:33\t1.27
01:32\t2.21
01:31\t4.68
01:31\t3.29
01:30\t2.98
01:30\t1.07
01:30\t1.53
01:29\t12.21
01:29\t1.2
01:28\t23.09
01:27\t1.04
01:27\t1.66
01:27\t1.27
01:27\t1.03
01:26\t1.13
01:26\t7.86
01:25\t1.05
01:25\t1.8
01:25\t3.07
01:24\t1.96
01:24\t2.11
01:24\t1.75
01:23\t5.54
01:22\t19.7
